Category: All categories

Month,diet: (Worldwide)
2004-01,100
2004-02,74
2004-03,68
2004-04,67
2004-05,70
2004-06,65
2004-07,63
2004-08,57
2004-09,55
2004-10,51
2004-11,49
2004-12,42
2005-01,63
2005-02,55
2005-03,55
2005-04,54
2005-05,56
2005-06,52
2005-07,52
2005-08,50
2005-09,47
2005-10,44
2005-11,43
2005-12,40
2006-01,62
2006-02,50
2006-03,48
2006-04,48
2006-05,50
2006-06,52
2006-07,50
2006-08,49
2006-09,46
2006-10,44
2006-11,42
2006-12,36
2007-01,56
2007-02,49
2007-03,51
2007-04,51
2007-05,50
2007-06,47
2007-07,47
2007-08,45
2007-09,44
2007-10,41
2007-11,37
2007-12,34
2008-01,50
2008-02,46
2008-03,45
2008-04,48
2008-05,43
2008-06,43
2008-07,43
2008-08,44
2008-09,41
2008-10,42
2008-11,40
2008-12,36
2009-01,50
2009-02,45
2009-03,49
2009-04,47
2009-05,48
2009-06,46
2009-07,44
2009-08,44
2009-09,43
2009-10,42
2009-11,44
2009-12,38
2010-01,58
2010-02,49
2010-03,50
2010-04,50
2010-05,51
2010-06,44
2010-07,49
2010-08,46
2010-09,45
2010-10,45
2010-11,43
2010-12,37
2011-01,56
2011-02,50
2011-03,53
2011-04,57
2011-05,56
2011-06,54
2011-07,51
2011-08,48
2011-09,48
2011-10,48
2011-11,46
2011-12,43
2012-01,60
2012-02,58
2012-03,53
2012-04,56
2012-05,52
2012-06,54
2012-07,57
2012-08,54
2012-09,51
2012-10,46
2012-11,43
2012-12,41
2013-01,60
2013-02,58
2013-03,56
2013-04,56
2013-05,54
2013-06,54
2013-07,51
2013-08,52
2013-09,49
2013-10,46
2013-11,44
2013-12,41
2014-01,61
2014-02,54
2014-03,52
2014-04,53
2014-05,51
2014-06,49
2014-07,47
2014-08,46
2014-09,46
2014-10,43
2014-11,40
2014-12,40
2015-01,55
2015-02,48
2015-03,48
2015-04,47
2015-05,47
2015-06,47
2015-07,44
2015-08,45
2015-09,42
2015-10,42
2015-11,38
2015-12,36
2016-01,52
2016-02,49
2016-03,48
2016-04,48
2016-05,47
2016-06,44
2016-07,44
2016-08,43
2016-09,41
2016-10,38
2016-11,38
2016-12,35
2017-01,52
2017-02,54
2017-03,50
2017-04,50
2017-05,48
2017-06,45
2017-07,50
2017-08,45
2017-09,44
2017-10,43
2017-11,42
2017-12,40
2018-01,58
2018-02,53
2018-03,55
2018-04,54
2018-05,52
2018-06,51
2018-07,51
2018-08,51
2018-09,45
2018-10,43
2018-11,41
2018-12,39
2019-01,60
2019-02,51
2019-03,52
2019-04,52
2019-05,48
2019-06,46
2019-07,47
2019-08,45
2019-09,44
2019-10,41
2019-11,42
2019-12,37
2020-01,50
2020-02,47
2020-03,33
2020-04,35
2020-05,43
2020-06,42
2020-07,43
2020-08,41
2020-09,39
2020-10,36
2020-11,33
2020-12,31
2021-01,41
2021-02,38
2021-03,37
2021-04,36
2021-05,34
2021-06,34
2021-07,34
2021-08,31
2021-09,32
2021-10,32
2021-11,28
2021-12,27
2022-01,35
2022-02,33
2022-03,34
2022-04,32
2022-05,33
2022-06,32
2022-07,33
2022-08,31
2022-09,29
2022-10,31
2022-11,27
2022-12,26
2023-01,33
2023-02,32
2023-03,32
2023-04,29
2023-05,30
2023-06,30
2023-07,30
2023-08,27
2023-09,29
2023-10,27
2023-11,26
2023-12,24
2024-01,32
2024-02,29
2024-03,29
2024-04,29
2024-05,28
2024-06,30
