index,No. overall,No. in season,Title,Directed by,Written by,Original air date,Prod. code,US viewers (millions)
0,1,1,"""Pilot""",James Burrows,Chuck Lorre & Bill Prady,"September 24, 2007",276023,9.52
1,2,2,"""The Big Bran Hypothesis""",Mark Cendrowski,"Story by : Chuck Lorre & Bill Prady _x000D_
Teleplay by : Robert Cohen & Dave Goetsch","October 1, 2007",3T6601,8.58
2,3,3,"""The Fuzzyboots Corollary""",Mark Cendrowski,"Story by : Chuck Lorre _x000D_
Teleplay by : Bill Prady & Steven Molaro","October 8, 2007",3T6602,8.36
3,4,4,"""The Luminous Fish Effect""",Mark Cendrowski,"Story by : Chuck Lorre & Bill Prady _x000D_
Teleplay by : David Litt & Lee Aronsohn","October 15, 2007",3T6603,8.15
4,5,5,"""The Hamburger Postulate""",Andrew D. Weyman,"Story by : Jennifer Glickman _x000D_
Teleplay by : Dave Goetsch & Steven Molaro","October 22, 2007",3T6604,8.81
5,6,6,"""The Middle-Earth Paradigm""",Mark Cendrowski,"Story by : Dave Goetsch _x000D_
Teleplay by : David Litt & Robert Cohen","October 29, 2007",3T6605,8.92
6,7,7,"""The Dumpling Paradox""",Mark Cendrowski,"Story by : Chuck Lorre & Bill Prady _x000D_
Teleplay by : Lee Aronsohn & Jennifer Glickman","November 5, 2007",3T6606,9.68
7,8,8,"""The Grasshopper Experiment""",Ted Wass,"Story by : Dave Goetsch & Steven Molaro _x000D_
Teleplay by : Lee Aronsohn & Robert Cohen","November 12, 2007",3T6607,9.32
8,9,9,"""The Cooper-Hofstadter Polarization""",Joel Murray,"Story by : Bill Prady & Stephen Engel _x000D_
Teleplay by : Chuck Lorre & Lee Aronsohn & Dave Goetsch","March 17, 2008",3T6608,9.11
9,10,10,"""The Loobenfeld Decay""",Mark Cendrowski,"Story by : Chuck Lorre _x000D_
Teleplay by : Bill Prady & Lee Aronsohn","March 24, 2008",3T6609,8.63
10,11,11,"""The Pancake Batter Anomaly""",Mark Cendrowski,"Story by : Chuck Lorre & Lee Aronsohn _x000D_
Teleplay by : Bill Prady & Stephen Engel","March 31, 2008",3T6610,8.68
