season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,prod_code,us_viewers,imdb_rating,total_votes,desc
1,1,1,Pilot,James Burrows,Chuck Lorre & Bill Prady,2007-09-24,276023,9520000,8.2,6135,"A pair of socially awkward theoretical physicists meet their new neighbor Penny, who is their polar opposite."
1,2,2,The Big Bran Hypothesis,Mark Cendrowski,Story by: Chuck Lorre & Bill PradyTeleplay by: Robert Cohen & Dave Goetsch,2007-10-01,3T6601,8580000,8.3,4924,Penny is furious with Leonard and Sheldon when they sneak into her apartment and clean it while she is sleeping.
1,3,3,The Fuzzy Boots Corollary,Mark Cendrowski,Story by: Chuck LorreTeleplay by: Bill Prady & Steven Molaro,2007-10-08,3T6602,8360000,7.7,4392,"Leonard gets upset when he discovers that Penny is seeing a new guy, so he tries to trick her into going on a date with him."
1,4,4,The Luminous Fish Effect,Mark Cendrowski,Story by: Chuck Lorre & Bill PradyTeleplay by: David Litt & Lee Aronsohn,2007-10-15,3T6603,8150000,8.1,4434,Sheldon's mother is called to intervene when he delves into numerous obsessions after being fired for being disrespectful to his new boss.
1,5,5,The Hamburger Postulate,Andrew D. Weyman,Story by: Jennifer GlickmanTeleplay by: Dave Goetsch & Steven Molaro,2007-10-22,3T6604,8810000,7.9,4227,"Leslie seduces Leonard, but afterwards tells him that she is only interested in a one-night stand."
1,6,6,The Middle Earth Paradigm,Mark Cendrowski,Story by: Dave GoetschTeleplay by: David Litt & Robert Cohen,2007-10-29,3T6605,8920000,8.4,4402,"The guys are invited to Penny's Halloween party, where Leonard has yet another run-in with Penny's ex-boyfriend Kurt."
1,7,7,The Dumpling Paradox,Mark Cendrowski,Story by: Chuck Lorre & Bill PradyTeleplay by: Lee Aronsohn & Jennifer Glickman,2007-11-05,3T6606,9680000,8.1,4143,"When Howard hooks up with Penny's old friend, his absence in the gang causes problems for the rest of the guys."
1,8,8,The Grasshopper Experiment,Ted Wass,Story by: Dave Goetsch & Steven MolaroTeleplay by: Lee Aronsohn & Robert Cohen,2007-11-12,3T6607,9320000,8.2,4172,"When Raj's parents set him up on a blind date, he finds he can talk to women with the aid of alcohol."
1,9,9,The Cooper-Hofstadter Polarization,Joel Murray,Story by: Bill Prady & Stephen EngelTeleplay by: Chuck Lorre & Lee Aronsohn & Dave Goetsch,2008-03-17,3T6608,9110000,8,4024,"Leonard and Sheldon's friendship is put to the test when Leonard wants to present a paper they co-authored at a physics convention, but Sheldon doesn't."
1,10,10,The Loobenfeld Decay,Mark Cendrowski,Story by: Chuck LorreTeleplay by: Bill Prady & Lee Aronsohn,2008-03-24,3T6609,8630000,8,4119,"Leonard lies to Penny so that he and Sheldon can get out of watching her perform. However, Sheldon believes that the lie has too many loose ends, so he comes up with a new, unnecessarily complex one to replace it."
